,frame,time,role1,x1,y1,role2,x2,y2,role3,x3,y3,role4,x4,y4,ballx,bally,speed1x,speed1y,speed2x,speed2y,speed3x,speed3y,speed4x,speed4y,shot,targetx,targety,fromx,fromy,duration,shot_full,lastHit,rally
10,13614,0.3333333333333333,opponent,2.211446,17.339905,opponent,7.504864,13.344531,teammate,2.418633,1.9079632,receiver,8.170946,1.5783666,4.336438368965517,12.705987655172414,0.00014999999999432134,0.004409999999950287,0.0037799999999954537,-0.007229999999971426,-0.015521999999990044,0.012158999999998255,0.029849999999989052,0.12484799999999963,undef,0,0,0,0,0,,T,0
11,13615,0.36666666666666664,opponent,2.211451,17.340052,opponent,7.50499,13.34429,teammate,2.4181156,1.9083685,receiver,8.171941,1.5825282,4.580737875862068,12.148474820689655,1.8071520000000074,-4.516260000000045,-0.039330000000008525,0.3039299999999834,-0.24549599999999838,1.311021000000001,1.8682200000000115,1.4529689999999995,undef,0,0,0,0,0,,T,0
12,13616,0.4,opponent,2.2716894,17.18951,opponent,7.503679,13.354421,teammate,2.4099324,1.9520692,receiver,8.234215,1.6309605,4.82503738275862,11.5909619862069,2.491158000000002,-3.900899999999936,-0.014370000000010208,-0.17193000000002456,0.14897399999999728,-0.15566999999999664,1.542539999999999,2.2401419999999983,undef,0,0,0,0,0,,T,0
13,13617,0.43333333333333335,opponent,2.354728,17.05948,opponent,7.5032,13.34869,teammate,2.4148982,1.9468802,receiver,8.285633,1.7056319,5.0693368896551725,11.033449151724138,-0.22869000000000472,-1.412010000000059,0.1151100000000227,-1.5801899999999591,0.07309799999999367,1.1333639999999967,1.6299599999999614,2.026425000000003,undef,0,0,0,0,0,,T,0
14,13618,0.4666666666666667,opponent,2.347105,17.012413,opponent,7.507037,13.296017,teammate,2.4173348,1.984659,receiver,8.339965,1.7731794,5.313636396551724,10.475936317241379,3.7149239999999972,-3.5803499999999744,-0.17842200000000474,0.343019999999985,0.5243460000000066,0.41772599999999827,1.4188500000000026,0.9294509999999967,undef,0,0,0,0,0,,T,0
15,13619,0.5,opponent,2.4709358,16.893068,opponent,7.5010896,13.307451,teammate,2.434813,1.9985832,receiver,8.38726,1.8041611,5.557935903448276,9.91842348275862,-0.18050399999999467,-2.360040000000012,-0.00906900000001265,-0.09897000000000489,-0.03492600000000845,0.7230120000000073,1.2489900000000276,0.6809999999999983,undef,0,0,0,0,0,,T,0
16,13620,0.5333333333333333,opponent,2.464919,16.8144,opponent,7.5007873,13.304152,teammate,2.4336488,2.0226836,receiver,8.428893,1.8268611,5.802235410344827,9.360910648275862,0.010007999999994688,-0.02339999999996678,0.0006210000000095306,-0.00612000000000279,0.0013860000000098793,0.0054419999999932855,0.0025199999999792055,-0.007622999999994384,undef,0,0,0,0,0,,T,0
17,13621,0.5666666666666667,opponent,2.4652526,16.81362,opponent,7.500808,13.303948,teammate,2.433695,2.022865,receiver,8.428977,1.826607,6.046534917241378,8.803397813793104,2.448935999999997,-3.6404999999999887,0.053421000000009045,0.04491000000001577,0.5401559999999916,0.061563000000006696,1.3724399999999903,0.7479809999999976,undef,0,0,0,0,0,,T,0
18,13622,0.6,opponent,2.5468838,16.69227,opponent,7.5025887,13.305445,teammate,2.4517002,2.0249171,receiver,8.474725,1.8515397,6.29083442413793,8.245884979310345,2.9030160000000116,-2.9112600000000555,-0.010551000000011967,0.08513999999996358,0.304878000000004,0.6585149999999995,1.5289500000000444,1.4578139999999973,undef,0,0,0,0,0,,T,0
19,13623,0.6333333333333333,opponent,2.643651,16.595228,opponent,7.502237,13.308283,teammate,2.4618628,2.0468676,receiver,8.52569,1.9001335,6.5351339310344825,7.688372144827587,2.6675819999999995,-7.877039999999944,0.019479000000002245,-0.12983999999997664,0.647148000000004,-0.11426999999999854,1.4728799999999609,0.5168760000000017,undef,0,0,0,0,0,,T,0
